,date,freq
0,2015-6-15,7.3333330000000005
1,2015-7-1,7.6
2,2015-7-16,7.0625
3,2015-8-1,7.8
4,2015-8-16,8.5
5,2015-9-1,9.533333
6,2015-9-15,10.333333
7,2015-10-1,8.866667
8,2015-10-16,10.25
9,2015-11-1,9.266667
10,2015-11-15,7.933333
11,2015-12-1,8.866667
12,2015-12-16,8.3125
13,2016-1-1,7.866667
14,2016-1-16,8.3125
15,2016-2-1,7.285714
16,2016-2-14,10.642857000000001
17,2016-3-1,7.6666669999999995
18,2016-3-16,8.125
19,2016-4-1,8.866667
20,2016-4-15,8.733333
21,2016-5-1,7.733333
22,2016-5-16,9.375
23,2016-6-1,10.4
24,2016-6-15,11.4
25,2016-7-1,8.866667
26,2016-7-16,10.25
27,2016-8-1,11.066667
28,2016-8-16,9.1875
29,2016-9-1,9.6
30,2016-9-15,8.933333
31,2016-10-1,8.866667
32,2016-10-16,7.5
33,2016-11-1,10.266667
34,2016-11-15,7.8
35,2016-12-1,9.533333
36,2016-12-16,7.875
37,2017-1-1,7.533333
38,2017-1-16,7.75
39,2017-2-1,7.785714
40,2017-2-14,7.571428999999999
41,2017-3-1,7.266667
42,2017-3-16,8.375
43,2017-4-1,7.3333330000000005
44,2017-4-15,8.666667
45,2017-5-1,7.933333
46,2017-5-16,8.5
47,2017-6-1,8.733333
48,2017-6-15,10.133333
49,2017-7-1,10.0
50,2017-7-16,9.75
51,2017-8-1,9.8
52,2017-8-16,9.0
53,2017-9-1,8.466667
54,2017-9-15,8.4
55,2017-10-1,9.266667
56,2017-10-16,8.625
57,2017-11-1,8.066667
58,2017-11-15,8.533333
59,2017-12-1,7.066667
60,2017-12-16,7.5625
61,2018-1-1,10.4
62,2018-1-16,6.5625
63,2018-2-1,9.642857000000001
64,2018-2-14,8.142857000000001
65,2018-3-1,8.666667
66,2018-3-16,7.625
67,2018-4-1,8.733333
68,2018-4-15,8.0
69,2018-5-1,9.866667
70,2018-5-16,10.0
71,2018-6-1,9.666667
72,2018-6-15,7.466667
73,2018-7-1,10.0
74,2018-7-16,9.25
75,2018-8-1,7.933333
76,2018-8-16,7.125
77,2018-9-1,8.266667
78,2018-9-15,8.466667
79,2018-10-1,8.6
80,2018-10-16,11.1875
81,2018-11-1,10.6
82,2018-11-15,8.4
83,2018-12-1,10.133333
84,2018-12-16,7.9375
85,2019-1-1,8.0
86,2019-1-16,8.25
87,2019-2-1,7.5
88,2019-2-14,9.714286
89,2019-3-1,8.133333
90,2019-3-16,6.8125
91,2019-4-1,9.2
92,2019-4-15,6.066667
93,2019-5-1,8.933333
94,2019-5-16,9.25
95,2019-6-1,8.333333
96,2019-6-15,9.6
97,2019-7-1,11.4
98,2019-7-16,9.1875
99,2019-8-1,8.933333
100,2019-8-16,9.4375
101,2019-9-1,10.0
102,2019-9-1,10.28637705340321
103,2019-9-15,10.14494355451551
104,2019-10-1,11.487629012176013
105,2019-10-16,11.8718224459519
106,2019-11-1,9.694105114476056
107,2019-11-15,11.294797475566625
108,2019-12-1,9.386894064070807
109,2019-12-16,9.5758639489714
110,2020-1-1,9.51844810722418
111,2020-1-16,9.247366839255305
112,2020-2-1,10.525509895580647
113,2020-2-14,9.451122527149638
114,2020-3-1,8.82819503409265
115,2020-3-16,10.171051703140307
116,2020-4-1,8.4600315793685
117,2020-4-15,10.252898569136828
118,2020-5-1,10.621540995037128
119,2020-5-16,10.069144988495285
120,2020-6-1,11.101349995586258
121,2020-6-15,12.414688841570676
122,2020-7-1,10.870372669007219
123,2020-7-16,10.615980395189535
124,2020-8-1,10.648688323808043
125,2020-8-16,10.954127397583806
126,2020-9-1,11.133302485167132
127,2020-9-15,11.295924535925321
128,2020-10-1,12.184895413218904
129,2020-10-16,12.227081072586877
130,2020-11-1,10.786703173644474
131,2020-11-15,11.541189526121743
132,2020-12-1,10.281326574582822
133,2020-12-16,11.199877267226029
134,2021-1-1,10.111394423074687
135,2021-1-16,10.737852448088908
136,2021-2-1,11.3153685865344
137,2021-2-14,10.646500578556015
138,2021-3-1,9.850773671262399
139,2021-3-16,11.211865599524689
140,2021-4-1,9.659746342861679
141,2021-4-15,11.559379381810562
142,2021-5-1,11.858119542256745
143,2021-5-16,11.337700462712581
144,2021-6-1,11.48625138584668
145,2021-6-15,13.179281121404362
146,2021-7-1,11.803123390438836
147,2021-7-16,11.25214595282913
148,2021-8-1,11.087884449368504
149,2021-8-16,11.64741712516626
150,2021-9-1,11.841011111182354
151,2021-9-15,11.971060133999854
