"date","freq"
2015-6-15,0.066667
2015-7-1,0.200000
2015-7-16,0.625000
2015-8-1,0.200000
2015-8-16,0.437500
2015-9-1,0.266667
2015-9-15,0.200000
2015-10-1,0.400000
2015-10-16,0.625000
2015-11-1,0.466667
2015-11-15,0.466667
2015-12-1,0.666667
2015-12-16,0.437500
2016-1-1,0.600000
2016-1-16,0.250000
2016-2-1,0.357143
2016-2-14,0.214286
2016-3-1,0.400000
2016-3-16,0.250000
2016-4-1,0.466667
2016-4-15,0.066667
2016-5-1,0.400000
2016-5-16,0.437500
2016-6-1,0.133333
2016-6-15,0.333333
2016-7-1,0.533333
2016-7-16,0.312500
2016-8-1,0.200000
2016-8-16,0.250000
2016-9-1,0.266667
2016-9-15,0.200000
2016-10-1,0.066667
2016-10-16,0.562500
2016-11-1,0.133333
2016-11-15,0.000000
2016-12-1,0.333333
2016-12-16,0.312500
2017-1-1,0.733333
2017-1-16,0.375000
2017-2-1,0.285714
2017-2-14,0.214286
2017-3-1,0.266667
2017-3-16,0.437500
2017-4-1,0.466667
2017-4-15,0.533333
2017-5-1,0.733333
2017-5-16,0.125000
2017-6-1,0.466667
2017-6-15,0.400000
2017-7-1,0.933333
2017-7-16,0.625000
2017-8-1,0.200000
2017-8-16,0.187500
2017-9-1,0.866667
2017-9-15,0.600000
2017-10-1,0.466667
2017-10-16,0.562500
2017-11-1,0.266667
2017-11-15,0.400000
2017-12-1,0.200000
2017-12-16,0.187500
2018-1-1,0.133333
2018-1-16,0.750000
2018-2-1,0.142857
2018-2-14,0.428571
2018-3-1,0.200000
2018-3-16,0.187500
2018-4-1,0.466667
2018-4-15,0.133333
2018-5-1,0.266667
2018-5-16,0.562500
2018-6-1,0.466667
2018-6-15,0.533333
2018-7-1,0.333333
2018-7-16,0.375000
2018-8-1,0.333333
2018-8-16,0.625000
2018-9-1,0.600000
2018-9-15,0.533333
2018-10-1,0.933333
2018-10-16,0.562500
2018-11-1,0.733333
2018-11-15,0.266667
2018-12-1,0.333333
2018-12-16,0.437500
2019-1-1,0.466667
2019-1-16,0.250000
2019-2-1,0.357143
2019-2-14,0.642857
2019-3-1,0.133333
2019-3-16,0.625000
2019-4-1,0.333333
2019-4-15,0.333333
2019-5-1,0.733333
2019-5-16,0.312500
2019-6-1,0.266667
2019-6-15,0.133333
2019-7-1,0.266667
2019-7-16,0.562500
2019-8-1,0.200000
2019-8-16,0.375000
2019-9-1,0.266667
