"date","freq"
2015-6-15,17.800000
2015-7-1,20.733333
2015-7-16,16.687500
2015-8-1,18.333333
2015-8-16,19.000000
2015-9-1,19.866667
2015-9-15,18.733333
2015-10-1,22.200000
2015-10-16,15.437500
2015-11-1,19.133333
2015-11-15,17.666667
2015-12-1,17.666667
2015-12-16,18.437500
2016-1-1,18.666667
2016-1-16,16.937500
2016-2-1,17.714286
2016-2-14,17.642857
2016-3-1,16.200000
2016-3-16,16.687500
2016-4-1,20.866667
2016-4-15,17.600000
2016-5-1,18.466667
2016-5-16,18.312500
2016-6-1,16.400000
2016-6-15,19.533333
2016-7-1,17.000000
2016-7-16,19.000000
2016-8-1,19.666667
2016-8-16,21.937500
2016-9-1,19.266667
2016-9-15,18.000000
2016-10-1,18.866667
2016-10-16,17.437500
2016-11-1,18.266667
2016-11-15,20.066667
2016-12-1,17.533333
2016-12-16,17.437500
2017-1-1,15.800000
2017-1-16,19.062500
2017-2-1,18.642857
2017-2-14,19.142857
2017-3-1,17.066667
2017-3-16,19.687500
2017-4-1,17.933333
2017-4-15,17.266667
2017-5-1,18.266667
2017-5-16,17.750000
2017-6-1,20.866667
2017-6-15,18.733333
2017-7-1,18.466667
2017-7-16,19.687500
2017-8-1,21.466667
2017-8-16,23.062500
2017-9-1,17.333333
2017-9-15,19.533333
2017-10-1,18.200000
2017-10-16,21.625000
2017-11-1,17.266667
2017-11-15,19.000000
2017-12-1,17.400000
2017-12-16,17.750000
2018-1-1,16.800000
2018-1-16,18.937500
2018-2-1,17.571429
2018-2-14,15.714286
2018-3-1,16.600000
2018-3-16,18.000000
2018-4-1,20.333333
2018-4-15,18.600000
2018-5-1,21.266667
2018-5-16,19.187500
2018-6-1,17.933333
2018-6-15,21.533333
2018-7-1,20.066667
2018-7-16,20.687500
2018-8-1,18.800000
2018-8-16,20.500000
2018-9-1,18.800000
2018-9-15,19.266667
2018-10-1,18.133333
2018-10-16,18.562500
2018-11-1,18.466667
2018-11-15,17.733333
2018-12-1,18.200000
2018-12-16,19.625000
2019-1-1,21.666667
2019-1-16,16.812500
2019-2-1,14.785714
2019-2-14,17.642857
2019-3-1,19.200000
2019-3-16,19.125000
2019-4-1,20.666667
2019-4-15,16.466667
2019-5-1,20.666667
2019-5-16,20.625000
2019-6-1,18.866667
2019-6-15,22.133333
2019-7-1,23.733333
2019-7-16,23.250000
2019-8-1,21.000000
2019-8-16,23.062500
2019-9-1,18.733333
