"date","freq"
2015-6-15,5.333333
2015-7-1,6.400000
2015-7-16,5.250000
2015-8-1,6.466667
2015-8-16,5.375000
2015-9-1,6.000000
2015-9-15,5.466667
2015-10-1,6.266667
2015-10-16,5.687500
2015-11-1,6.266667
2015-11-15,5.000000
2015-12-1,6.933333
2015-12-16,5.187500
2016-1-1,5.866667
2016-1-16,5.687500
2016-2-1,4.928571
2016-2-14,6.285714
2016-3-1,5.400000
2016-3-16,4.875000
2016-4-1,5.666667
2016-4-15,5.066667
2016-5-1,5.533333
2016-5-16,6.625000
2016-6-1,6.733333
2016-6-15,6.733333
2016-7-1,6.200000
2016-7-16,6.687500
2016-8-1,6.333333
2016-8-16,6.562500
2016-9-1,7.066667
2016-9-15,5.933333
2016-10-1,5.533333
2016-10-16,5.562500
2016-11-1,5.266667
2016-11-15,5.933333
2016-12-1,4.600000
2016-12-16,5.250000
2017-1-1,5.333333
2017-1-16,7.250000
2017-2-1,5.857143
2017-2-14,7.142857
2017-3-1,5.800000
2017-3-16,6.625000
2017-4-1,7.733333
2017-4-15,5.266667
2017-5-1,5.866667
2017-5-16,7.562500
2017-6-1,7.200000
2017-6-15,6.066667
2017-7-1,6.600000
2017-7-16,6.625000
2017-8-1,6.333333
2017-8-16,4.687500
2017-9-1,7.200000
2017-9-15,6.066667
2017-10-1,7.533333
2017-10-16,5.875000
2017-11-1,7.133333
2017-11-15,5.600000
2017-12-1,5.533333
2017-12-16,4.125000
2018-1-1,6.000000
2018-1-16,5.562500
2018-2-1,5.642857
2018-2-14,6.428571
2018-3-1,7.466667
2018-3-16,5.000000
2018-4-1,6.533333
2018-4-15,4.800000
2018-5-1,6.466667
2018-5-16,5.625000
2018-6-1,5.800000
2018-6-15,5.466667
2018-7-1,6.066667
2018-7-16,4.625000
2018-8-1,6.333333
2018-8-16,7.437500
2018-9-1,7.000000
2018-9-15,5.600000
2018-10-1,5.466667
2018-10-16,4.875000
2018-11-1,4.800000
2018-11-15,6.000000
2018-12-1,6.200000
2018-12-16,5.375000
2019-1-1,7.666667
2019-1-16,6.125000
2019-2-1,5.500000
2019-2-14,5.571429
2019-3-1,5.266667
2019-3-16,6.187500
2019-4-1,4.066667
2019-4-15,6.200000
2019-5-1,7.133333
2019-5-16,7.437500
2019-6-1,6.000000
2019-6-15,8.066667
2019-7-1,5.066667
2019-7-16,5.125000
2019-8-1,6.533333
2019-8-16,7.125000
2019-9-1,5.400000
