"date","freq"
2015-6-15,3.933333
2015-7-1,4.000000
2015-7-16,3.625000
2015-8-1,2.733333
2015-8-16,3.500000
2015-9-1,2.933333
2015-9-15,3.400000
2015-10-1,4.466667
2015-10-16,3.625000
2015-11-1,3.600000
2015-11-15,3.800000
2015-12-1,3.200000
2015-12-16,3.562500
2016-1-1,3.600000
2016-1-16,2.375000
2016-2-1,3.785714
2016-2-14,5.357143
2016-3-1,3.733333
2016-3-16,5.812500
2016-4-1,3.733333
2016-4-15,3.533333
2016-5-1,3.200000
2016-5-16,3.250000
2016-6-1,3.666667
2016-6-15,4.333333
2016-7-1,2.400000
2016-7-16,4.625000
2016-8-1,5.400000
2016-8-16,3.375000
2016-9-1,2.800000
2016-9-15,3.666667
2016-10-1,2.866667
2016-10-16,3.375000
2016-11-1,3.133333
2016-11-15,2.400000
2016-12-1,6.000000
2016-12-16,3.250000
2017-1-1,3.333333
2017-1-16,4.437500
2017-2-1,4.642857
2017-2-14,5.928571
2017-3-1,4.200000
2017-3-16,5.062500
2017-4-1,3.466667
2017-4-15,4.133333
2017-5-1,4.866667
2017-5-16,5.062500
2017-6-1,4.400000
2017-6-15,4.200000
2017-7-1,4.666667
2017-7-16,4.250000
2017-8-1,3.800000
2017-8-16,3.125000
2017-9-1,4.866667
2017-9-15,4.866667
2017-10-1,3.800000
2017-10-16,4.250000
2017-11-1,4.000000
2017-11-15,2.733333
2017-12-1,3.466667
2017-12-16,3.250000
2018-1-1,3.866667
2018-1-16,3.812500
2018-2-1,3.857143
2018-2-14,4.357143
2018-3-1,3.066667
2018-3-16,3.750000
2018-4-1,3.266667
2018-4-15,5.133333
2018-5-1,3.933333
2018-5-16,4.750000
2018-6-1,3.933333
2018-6-15,3.733333
2018-7-1,4.266667
2018-7-16,4.000000
2018-8-1,4.400000
2018-8-16,4.875000
2018-9-1,4.600000
2018-9-15,3.333333
2018-10-1,4.533333
2018-10-16,4.187500
2018-11-1,3.933333
2018-11-15,3.866667
2018-12-1,5.466667
2018-12-16,3.500000
2019-1-1,5.933333
2019-1-16,4.562500
2019-2-1,4.357143
2019-2-14,3.928571
2019-3-1,5.133333
2019-3-16,3.625000
2019-4-1,3.866667
2019-4-15,4.133333
2019-5-1,5.466667
2019-5-16,5.375000
2019-6-1,3.933333
2019-6-15,2.933333
2019-7-1,4.866667
2019-7-16,4.875000
2019-8-1,4.666667
2019-8-16,4.125000
2019-9-1,5.333333
